########

## 	Model: EURNN with N=512 FFT

########

1667	0.228143
1668	0.228438
1669	0.227690
1670	0.227530
1671	0.225388
1672	0.225296
1673	0.224899
1674	0.230680
1675	0.229522
1676	0.228043
1677	0.227063
1678	0.226328
1679	0.226622
1680	0.227408
1681	0.225895
1682	0.227096
1683	0.227189
1684	0.226040
1685	0.229196
1686	0.226038
1687	0.226777
1688	0.225947
1689	0.225014
1690	0.225289
1691	0.233072
1692	0.233546
1693	0.231433
1694	0.229345
1695	0.227875
1696	0.230492
1697	0.233008
1698	0.238355
1699	0.235824
1700	0.243826
1701	0.234275
1702	0.226944
1703	0.225346
1704	0.228429
1705	0.244115
1706	0.232337
1707	0.228520
1708	0.232285
1709	0.230454
1710	0.229102
1711	0.224925
1712	0.226523
1713	0.227594
1714	0.232302
1715	0.231364
1716	0.240051
1717	0.346497
1718	0.258830
1719	0.291443
1720	0.400996
1721	0.242904
1722	0.337852
1723	0.285458
1724	0.494300
1725	0.433668
1726	0.481189
1727	0.421104
1728	0.506638
1729	0.755974
1730	0.430408
1731	0.344544
1732	0.268854
1733	0.248578
1734	0.291115
1735	0.294463
1736	0.231355
1737	0.228282
1738	0.228776
1739	0.229200
1740	0.226173
1741	0.226936
1742	0.228604
1743	0.228791
1744	0.226920
1745	0.226436
1746	0.227075
1747	0.226869
1748	0.226068
1749	0.226232
1750	0.227020
1751	0.227221
1752	0.228263
1753	0.230739
1754	0.234460
1755	0.243619
1756	0.244294
1757	0.239747
1758	0.232167
1759	0.229295
1760	0.228188
1761	0.229780
1762	0.231894
1763	0.233515
1764	0.232130
1765	0.232658
1766	0.227060
1767	0.225778
1768	0.226124
1769	0.226670
1770	0.225331
1771	0.227627
1772	0.228536
1773	0.243858
1774	0.264064
1775	0.259846
1776	0.235874
1777	0.229879
1778	0.232996
1779	0.229673
1780	0.227877
1781	0.229252
1782	0.228554
1783	0.224425
1784	0.227127
1785	0.228669
1786	0.226832
1787	0.226269
1788	0.239439
1789	0.260001
1790	0.236905
1791	0.226112
1792	0.227053
1793	0.227097
1794	0.224057
1795	0.229176
1796	0.226151
1797	0.226119
1798	0.226263
1799	0.227260
1800	0.225045
1801	0.227036
1802	0.225614
1803	0.226352
1804	0.226589
1805	0.224176
1806	0.225085
1807	0.225905
1808	0.226414
1809	0.229582
1810	0.228168
1811	0.228202
1812	0.227359
1813	0.225245
1814	0.227936
1815	0.224148
1816	0.226729
1817	0.225168
1818	0.226830
1819	0.226196
1820	0.226307
1821	0.225273
1822	0.224546
1823	0.226802
1824	0.227173
1825	0.226862
1826	0.227295
1827	0.227338
1828	0.226691
1829	0.225755
1830	0.234020
1831	0.230228
1832	0.228609
1833	0.239507
1834	0.256230
1835	0.250989
1836	0.254060
1837	0.362545
1838	0.267272
1839	0.326254
1840	0.439231
1841	0.351624
1842	0.367451
1843	0.286220
1844	0.308995
1845	0.278537
1846	0.281194
1847	0.267520
1848	0.248797
1849	0.241375
1850	0.230910
1851	0.225990
1852	0.228942
1853	0.225935
